Num_Acc,an,mois,jour,lum,agg,int,atm,col,senc,catv,occutc,obs,obsm,manv,catu,secu,catr,circ,nbv,prof,lartpc,larrout,surf,infra,situ,nb_veh,grav_simpl,Homme,Femme,Arrière,Autre_x,Avant,Conducteur,Autre_y,Inconnu,Loisirs,Professionnel,Travail,Adulte,Enfant,Jeune,Senior,choc_avant,choc_arriere,choc_lateral,choc_multiple,grav_order_max,heure,minute
200800007166,8,2,25,2,1,1,1.0,7.0,0.0,7.0,0.0,16.0,0.0,17.0,1,0,3.0,2.0,2.0,1.0,0.0,70.0,1,0.0,1.0,1,4,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,4,7,0
200700051242,7,8,19,5,2,1,1.0,4.0,0.0,7.0,0.0,0.0,0.0,2.0,1,-1,2.0,2.0,3.0,1.0,0.0,0.0,1,0.0,1.0,3,1,6,9,0,3,3,9,0,6,9,0,0,6,3,6,0,1,1,0,0,2,21,30
200900067011,9,9,30,1,2,1,1.0,3.0,0.0,33.0,0.0,0.0,2.0,1.0,1,2,4.0,2.0,2.0,4.0,0.0,86.0,1,0.0,1.0,2,2,2,2,0,0,0,4,0,0,4,0,0,2,0,2,0,1,0,1,0,2,15,15
200500073313,5,11,9,1,2,1,1.0,6.0,1.0,7.0,0.0,0.0,2.0,0.0,1,-1,4.0,2.0,2.0,1.0,0.0,70.0,1,0.0,4.0,2,1,2,4,2,0,2,2,0,4,2,0,0,0,6,0,0,1,0,0,1,2,15,10
200700035591,7,6,14,1,2,1,1.0,3.0,0.0,7.0,0.0,0.0,2.0,16.0,1,1,4.0,2.0,5.0,1.0,0.0,200.0,1,0.0,5.0,2,1,2,2,0,0,0,4,0,4,0,0,0,0,0,0,4,1,0,1,0,2,10,20
201200055262,12,3,8,5,2,1,1.0,6.0,0.0,32.0,0.0,0.0,1.0,1.0,1,2,4.0,1.0,1.0,1.0,0.0,30.0,1,0.0,1.0,1,1,1,2,0,1,1,1,0,3,0,0,0,1,0,2,0,0,0,1,0,2,0,10
200800053727,8,9,28,3,1,1,1.0,6.0,0.0,7.0,0.0,13.0,0.0,14.0,1,1,1.0,1.0,2.0,1.0,40.0,70.0,1,0.0,3.0,1,2,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,2,4,10
201200029629,12,6,26,1,2,1,1.0,7.0,0.0,30.0,0.0,0.0,0.0,1.0,1,2,4.0,2.0,2.0,1.0,0.0,60.0,-1,0.0,1.0,1,2,1,1,0,0,1,1,0,0,2,0,0,0,0,2,0,0,0,0,0,2,18,42
201000038408,10,8,21,1,2,1,1.0,2.0,0.0,1.0,0.0,0.0,9.0,2.0,1,0,4.0,2.0,2.0,1.0,0.0,78.0,1,0.0,1.0,2,2,4,0,0,0,0,4,0,0,4,0,0,2,0,0,2,0,0,0,0,2,11,45
201600051579,16,9,23,5,2,7,1.0,4.0,2.0,7.0,0.0,0.0,2.0,1.0,1,1,4.0,1.0,3.0,1.0,0.0,0.0,1,0.0,1.0,3,3,6,3,0,0,0,9,3,0,3,3,0,9,0,0,0,1,0,0,0,3,22,30
201400016802,14,3,21,1,1,3,1.0,3.0,0.0,7.0,0.0,0.0,2.0,15.0,1,1,4.0,2.0,2.0,1.0,0.0,0.0,1,0.0,1.0,2,1,4,0,0,0,0,4,2,0,0,0,2,4,0,0,0,1,0,1,0,2,12,20
201600005484,16,1,1,3,1,1,1.0,1.0,2.0,7.0,0.0,0.0,2.0,1.0,1,1,3.0,0.0,0.0,2.0,0.0,0.0,1,0.0,1.0,2,3,2,2,0,0,0,4,0,0,4,0,0,2,0,2,0,1,0,0,0,3,18,30
200800063417,8,11,19,1,2,1,1.0,1.0,0.0,7.0,0.0,0.0,2.0,17.0,1,1,3.0,3.0,2.0,1.0,0.0,0.0,1,0.0,1.0,2,1,2,2,0,0,0,4,2,0,0,2,0,2,2,0,0,1,0,0,0,3,8,15
200600055476,6,9,17,1,2,2,2.0,3.0,0.0,7.0,0.0,0.0,2.0,15.0,2,1,4.0,3.0,6.0,1.0,50.0,165.0,1,0.0,1.0,2,2,6,0,0,0,2,4,2,2,2,0,0,0,2,2,2,1,0,1,0,2,15,40
200500014706,5,3,12,5,2,1,1.0,6.0,0.0,7.0,0.0,1.0,0.0,1.0,1,1,4.0,2.0,3.0,2.0,0.0,100.0,1,0.0,1.0,1,2,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,2,22,1
200700050099,7,8,30,1,2,1,1.0,6.0,0.0,7.0,0.0,0.0,2.0,5.0,1,1,4.0,2.0,2.0,4.0,0.0,0.0,1,0.0,1.0,3,1,6,3,0,0,0,9,0,0,6,0,3,3,0,6,0,1,0,0,0,2,18,10
201000060969,10,8,30,1,2,1,1.0,6.0,0.0,32.0,0.0,1.0,0.0,14.0,1,2,4.0,1.0,4.0,2.0,80.0,35.0,1,0.0,1.0,1,2,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,2,8,25
201100042862,11,11,10,5,2,1,1.0,1.0,0.0,7.0,0.0,0.0,9.0,15.0,1,1,4.0,2.0,2.0,2.0,0.0,70.0,1,0.0,1.0,2,1,4,0,0,0,0,4,0,4,0,0,0,2,2,0,0,1,0,0,0,2,17,50
200900022843,9,3,6,1,2,1,1.0,2.0,0.0,32.0,0.0,0.0,2.0,13.0,1,2,3.0,3.0,2.0,4.0,0.0,80.0,1,0.0,1.0,2,2,2,2,0,0,0,4,0,2,0,2,0,4,0,0,0,1,1,0,0,2,13,50
201300020054,13,8,3,1,1,1,1.0,6.0,0.0,33.0,0.0,16.0,0.0,1.0,1,2,1.0,3.0,2.0,1.0,20.0,70.0,1,3.0,3.0,1,3,1,1,0,0,1,1,0,1,1,0,0,2,0,0,0,0,0,1,0,3,16,15
200900042961,9,6,25,1,2,1,1.0,6.0,0.0,7.0,0.0,0.0,1.0,1.0,2,1,4.0,2.0,2.0,1.0,0.0,0.0,1,0.0,1.0,1,1,1,2,0,1,1,1,2,0,0,1,0,0,1,1,1,1,0,0,0,2,17,15
201200026679,12,5,22,1,2,3,1.0,6.0,0.0,7.0,0.0,0.0,1.0,1.0,1,1,4.0,1.0,1.0,1.0,0.0,0.0,1,0.0,1.0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,2,11,27
201100042711,11,6,20,1,2,1,2.0,2.0,0.0,7.0,0.0,0.0,2.0,2.0,1,1,4.0,2.0,4.0,1.0,20.0,150.0,1,0.0,1.0,2,1,4,2,0,0,2,4,0,6,0,0,0,2,0,2,2,1,0,0,0,2,14,0
201700035924,17,9,28,1,2,6,1.0,7.0,1.0,31.0,0.0,0.0,0.0,0.0,1,2,3.0,2.0,4.0,1.0,0.0,0.0,1,5.0,1.0,1,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2,12,0
201100045803,11,8,17,1,2,2,1.0,3.0,0.0,7.0,0.0,0.0,2.0,1.0,1,1,4.0,2.0,1.0,1.0,0.0,71.0,1,0.0,1.0,2,2,2,2,0,0,0,4,2,0,2,0,0,2,0,0,2,1,0,0,0,2,10,40
201100018216,11,10,11,1,2,1,1.0,6.0,0.0,7.0,0.0,0.0,1.0,1.0,1,1,3.0,1.0,1.0,1.0,0.0,0.0,1,0.0,1.0,1,1,1,1,0,1,0,1,0,2,0,0,0,1,0,0,1,1,0,0,0,2,8,46
200500039557,5,6,5,2,1,9,1.0,7.0,0.0,2.0,0.0,2.0,0.0,13.0,1,2,3.0,2.0,2.0,1.0,0.0,60.0,1,0.0,3.0,1,4,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,4,5,30
201700015058,17,12,15,5,2,1,1.0,1.0,1.0,7.0,0.0,0.0,2.0,5.0,1,-1,3.0,2.0,2.0,2.0,0.0,50.0,1,0.0,1.0,2,3,4,0,0,0,0,4,0,0,4,0,0,4,0,0,0,1,0,0,0,3,23,35
201400005196,14,1,9,3,1,1,1.0,6.0,0.0,7.0,0.0,4.0,0.0,14.0,1,1,2.0,3.0,4.0,2.0,10.0,190.0,1,0.0,1.0,1,3,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,3,22,30
200900062492,9,8,2,1,2,2,1.0,3.0,0.0,7.0,0.0,0.0,2.0,15.0,1,1,4.0,1.0,1.0,1.0,0.0,0.0,1,0.0,1.0,2,1,2,2,0,0,0,4,0,0,4,0,0,4,0,0,0,1,0,0,0,3,16,50
201000047233,10,1,28,1,2,1,8.0,6.0,0.0,7.0,0.0,0.0,1.0,1.0,1,1,4.0,2.0,2.0,1.0,0.0,0.0,1,0.0,1.0,1,1,0,2,0,1,0,1,2,0,0,0,0,1,1,0,0,1,0,0,0,2,8,10
200700016428,7,3,26,1,2,2,1.0,3.0,0.0,7.0,0.0,0.0,2.0,15.0,1,1,4.0,1.0,2.0,1.0,0.0,60.0,1,0.0,1.0,2,1,4,0,0,0,0,4,0,0,4,0,0,2,0,2,0,1,0,0,0,2,18,44
200900041703,9,11,18,1,2,1,1.0,5.0,0.0,30.0,0.0,0.0,2.0,1.0,1,2,4.0,2.0,2.0,1.0,0.0,0.0,1,0.0,1.0,3,2,6,3,0,0,0,9,3,0,3,3,0,3,3,3,0,1,0,1,0,2,8,0
200900009853,9,4,17,1,1,1,1.0,4.0,0.0,7.0,0.0,0.0,2.0,2.0,1,-1,4.0,2.0,2.0,1.0,0.0,60.0,1,0.0,1.0,3,1,6,6,0,0,3,9,0,0,9,0,3,9,0,3,0,1,1,0,0,2,18,40
201100002932,11,11,12,3,1,1,1.0,1.0,0.0,7.0,0.0,0.0,2.0,1.0,1,1,3.0,2.0,2.0,1.0,0.0,63.0,1,0.0,1.0,2,2,6,6,6,0,2,4,0,8,4,0,0,6,2,4,0,1,0,0,0,3,21,15
201700014228,17,12,23,1,2,1,1.0,6.0,0.0,7.0,0.0,0.0,1.0,1.0,1,1,2.0,2.0,2.0,2.0,0.0,64.0,1,0.0,1.0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,2,1,0,0,0,2,16,15
200700023788,7,4,20,1,2,1,1.0,3.0,0.0,34.0,0.0,1.0,2.0,18.0,1,-1,4.0,1.0,1.0,1.0,20.0,35.0,1,0.0,3.0,2,3,2,2,0,0,0,4,4,0,0,0,0,0,2,2,0,1,0,1,0,3,17,30
201400044717,14,7,24,1,2,1,1.0,2.0,0.0,7.0,0.0,0.0,2.0,2.0,1,1,3.0,2.0,2.0,1.0,0.0,0.0,1,0.0,1.0,2,1,4,2,0,0,2,4,0,0,6,0,0,4,2,0,0,1,1,0,0,2,14,50
200700020925,7,4,26,2,2,2,1.0,3.0,0.0,7.0,0.0,0.0,2.0,15.0,1,1,4.0,2.0,4.0,1.0,0.0,30.0,1,0.0,1.0,2,1,4,0,0,0,0,4,0,0,2,0,2,2,0,2,0,1,0,0,0,2,19,30
200800051499,8,9,9,1,2,1,1.0,3.0,0.0,7.0,0.0,0.0,2.0,15.0,1,1,4.0,2.0,0.0,1.0,0.0,70.0,1,0.0,1.0,2,1,4,0,0,0,0,4,2,0,2,0,0,2,0,0,2,1,0,0,0,3,11,25
200800065422,8,11,13,1,2,1,1.0,6.0,0.0,7.0,0.0,0.0,1.0,1.0,1,1,4.0,1.0,1.0,1.0,0.0,79.0,1,0.0,1.0,1,1,1,1,0,1,0,1,0,0,0,0,2,1,0,1,0,1,0,0,0,3,8,10
201200014324,12,1,12,5,2,6,1.0,6.0,1.0,7.0,0.0,0.0,2.0,2.0,1,1,2.0,1.0,3.0,1.0,0.0,120.0,1,0.0,1.0,2,2,0,2,0,0,0,2,0,0,0,0,2,0,0,2,0,1,1,0,0,2,6,45
201100061756,11,11,4,1,2,3,1.0,6.0,0.0,10.0,0.0,0.0,2.0,4.0,1,1,4.0,1.0,1.0,1.0,0.0,20.0,1,0.0,1.0,2,1,2,2,0,0,0,4,0,0,2,2,0,0,0,4,0,1,1,0,0,2,10,40
201000024092,10,4,15,1,2,2,1.0,3.0,0.0,7.0,0.0,0.0,2.0,1.0,1,-1,4.0,2.0,2.0,1.0,0.0,0.0,-1,0.0,1.0,2,2,4,0,0,0,0,4,2,2,0,0,0,4,0,0,0,1,0,0,0,2,14,30
