Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep
201300038423,13,5,5,1855,1,2,1,1.0,3,432,GENERAL WARABIOT (AVE,,,,910
201300015656,13,9,4,1800,1,2,1,1.0,6,55,"211, AVE DE LA CAPELETTE",M,4327984.0,540997.0,130
201300007457,13,6,15,1730,1,1,1,1.0,6,72,26072,M,0.0,0.0,260
201300028567,13,6,24,1715,1,2,1,1.0,6,323,MERCY (RUE),,,,540
201300009198,13,7,6,2230,3,1,1,1.0,1,12,RTE DE LA RAVINE,M,4909210.0,162630.0,950
201300001593,13,6,13,930,1,2,3,1.0,3,53,MERCIER (AVENUE AMEDEE D,M,4619990.0,525450.0,10
201300001793,13,12,30,1715,2,1,2,1.0,3,73,,M,0.0,0.0,440
201300030782,13,9,5,1835,1,2,1,7.0,2,599,PAPIN (CHAUSSEE DENIS),,,,590
201300010825,13,3,2,1345,1,2,1,1.0,3,88,"45, GAMBETTA (JUSQU'AU N",,,,60
201300049795,13,3,10,610,2,1,1,1.0,2,117,A7-Sens Lyon vers*Marsei,,,,130
201300023686,13,4,26,1230,1,2,1,2.0,2,63,AVE CHARLES DE GAULLE CA,,,,330
201300051858,13,11,4,716,1,2,1,1.0,6,109,"5, BOULEVARD DE CLICHY",,,,750
201300049292,13,3,21,2130,5,1,1,1.0,2,389,A6   451.790 A 453.400,,,,690
201300039612,13,3,10,1900,1,2,2,1.0,6,44,"28, GEO.POMPIDOU(AVE) 21",,,,920
201300027688,13,3,24,1245,1,2,2,1.0,5,7,JUIN PLACE ET RUE,M,4745031.0,-56772.0,490
201300011608,13,7,19,1615,1,1,1,1.0,2,873,,M,0.0,0.0,620
201300020231,13,4,26,1805,1,2,1,1.0,2,31,PARIS (AVENUE DE),,,,190
201300043168,13,6,21,1210,1,1,1,1.0,5,60,NOISEAU (RTE DE),,,,940
201300042626,13,5,3,1945,1,2,1,1.0,6,59,"24, PARIS (RUE DE)",,,,930
