Num_Acc,catr,voie,v1,v2,circ,nbv,pr,pr1,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1
200500069468,4.0,0.0,0.0,,2,2,,,0,1,3,0,60,1,0,1,99
200500010668,3.0,767.0,0.0,,3,4,70.0,700.0,0,1,1,33,70,2,0,1,0
200500025233,4.0,0.0,0.0,,2,1,0.0,0.0,0,2,4,0,0,1,0,3,0
200500070818,3.0,708.0,0.0,,2,0,0.0,0.0,0,0,1,0,70,1,0,1,0
200500073515,4.0,0.0,0.0,,2,2,,,0,1,1,0,64,1,0,1,0
200500047013,4.0,0.0,0.0,,3,2,,,0,1,1,0,80,1,0,1,0
200500053723,1.0,86.0,0.0,,3,5,7.0,200.0,0,1,1,15,175,1,0,1,99
200500014732,3.0,0.0,0.0,,2,1,,,0,1,1,0,76,1,0,4,99
200500072387,2.0,0.0,0.0,,2,4,,,0,2,1,0,130,1,0,1,0
200500008093,3.0,0.0,0.0,,3,4,28.0,450.0,0,1,3,50,140,2,0,3,99
200500051198,4.0,0.0,0.0,,2,2,,,0,1,1,0,88,1,0,1,99
200500035607,4.0,,0.0,,1,1,1009.0,0.0,0,1,1,0,30,1,0,1,0
200500071511,3.0,988.0,0.0,,2,2,5.0,300.0,0,2,3,0,70,2,0,1,0
200500081219,4.0,0.0,0.0,,3,6,,,0,1,1,12,150,1,5,1,3
200500067417,2.0,0.0,0.0,,2,2,38.0,0.0,2,1,1,0,0,1,0,1,99
200500043690,3.0,0.0,0.0,,2,2,,,1,1,1,0,61,1,0,0,99
200500039656,2.0,106.0,0.0,,2,1,87.0,0.0,0,1,4,0,72,1,0,1,0
200500054514,3.0,10.0,0.0,,2,1,78.0,500.0,0,2,1,0,70,1,0,1,0
200500055626,3.0,15.0,0.0,,2,2,16.0,500.0,0,2,2,0,42,1,0,1,0
200500038498,4.0,0.0,0.0,,2,0,0.0,0.0,0,1,0,0,0,1,0,0,0
200500076317,4.0,0.0,0.0,,0,2,,,0,1,1,0,0,2,0,1,99
200500079546,3.0,70.0,0.0,,2,2,0.0,0.0,0,1,1,0,60,1,0,1,0
200500034785,4.0,0.0,0.0,,2,2,,,0,1,1,0,64,1,0,0,0
200500061039,3.0,2.0,0.0,,2,1,,,0,1,1,41,94,1,0,1,0
200500001453,2.0,97.0,0.0,,2,2,0.0,0.0,0,1,1,0,70,1,0,1,0
200500039341,3.0,464.0,0.0,,2,2,60.0,0.0,0,4,3,75,0,1,0,1,0
200500066306,4.0,0.0,0.0,,0,0,,,0,1,1,0,0,2,0,1,0
200500069598,3.0,0.0,0.0,,2,2,,,0,1,1,0,50,1,0,1,0
200500066494,4.0,0.0,0.0,,2,3,,,0,1,1,0,72,1,0,1,3
200500063834,1.0,6.0,6.0,A,3,2,271.0,800.0,0,1,1,20,100,1,0,1,0
200500048187,3.0,9.0,0.0,,2,2,10.0,950.0,0,1,1,0,72,1,0,1,0
200500002821,2.0,0.0,0.0,,2,2,54.0,130.0,0,1,1,0,71,2,0,1,99
200500009725,4.0,0.0,0.0,,1,1,,,0,1,1,0,35,1,0,1,0
200500059135,4.0,0.0,0.0,,0,0,,,0,1,1,0,84,1,0,1,3
200500059771,4.0,,0.0,,1,1,2009.0,34.0,0,1,1,0,30,1,0,1,0
200500004941,4.0,,0.0,,2,6,1009.0,0.0,0,1,1,0,180,2,0,1,0
200500019264,9.0,0.0,0.0,,2,4,,,0,1,1,0,120,1,0,4,0
200500076470,3.0,0.0,0.0,,2,4,,,0,3,1,0,0,1,1,4,3
200500041252,3.0,299.0,0.0,,2,2,6.0,500.0,0,1,2,0,68,1,0,3,0
200500058136,4.0,0.0,0.0,,2,2,,,1,1,1,0,58,0,0,1,0
200500052579,4.0,,0.0,,1,1,1009.0,0.0,0,1,1,0,30,1,0,1,0
200500063252,2.0,124.0,0.0,,2,2,91.0,650.0,0,2,1,0,70,1,0,1,0
200500010902,2.0,113.0,0.0,,2,0,0.0,0.0,0,1,2,0,0,1,0,1,0
200500003394,4.0,0.0,0.0,,2,2,,,0,1,0,0,70,1,0,1,99
200500086331,4.0,0.0,0.0,,2,2,,,0,1,1,0,60,1,0,1,0
200500028833,3.0,0.0,0.0,,2,2,,,0,1,3,0,75,1,0,1,99
200500069761,1.0,86.0,0.0,,3,5,18.0,300.0,0,1,1,300,175,1,0,1,99
200500018814,4.0,0.0,0.0,,1,2,,,0,1,1,0,0,1,0,1,99
200500071294,3.0,24.0,0.0,,2,0,10.0,200.0,0,2,1,0,50,7,0,1,0
200500074368,4.0,0.0,0.0,,2,2,,,0,1,1,0,0,1,0,1,0
200500003715,4.0,0.0,0.0,,2,2,1.0,0.0,0,1,1,0,72,1,0,1,3
200500062501,2.0,17.0,0.0,,2,2,1.0,500.0,0,1,1,0,70,1,0,3,0
200500041284,2.0,117.0,0.0,,2,2,68.0,0.0,0,1,1,0,76,1,0,3,0
200500082665,4.0,,0.0,,1,2,7707.0,0.0,0,1,1,0,60,1,0,1,0
200500026165,3.0,15.0,0.0,,2,2,0.0,0.0,0,0,0,0,0,0,0,0,0
200500061986,2.0,230.0,0.0,,3,6,37.0,600.0,0,1,3,0,210,2,0,1,0
200500019154,3.0,0.0,0.0,,2,2,87.0,0.0,0,1,1,0,70,1,0,1,99
200500079022,2.0,7.0,7.0,N,2,0,0.0,0.0,0,3,2,0,0,1,0,1,0
200500000374,4.0,0.0,0.0,,2,2,0.0,0.0,0,1,1,0,0,1,5,1,0
200500009052,4.0,,0.0,,2,8,1009.0,0.0,0,1,1,0,240,5,0,1,0
200500071867,2.0,2.0,9.0,,0,2,51.0,0.0,0,0,4,0,0,2,0,0,0
200500045424,4.0,0.0,0.0,,2,2,,,0,1,1,0,62,1,0,4,0
200500015843,4.0,0.0,0.0,,2,2,,,0,1,1,0,0,1,0,1,0
200500054091,3.0,774.0,0.0,,2,2,0.0,0.0,0,1,2,0,51,1,0,1,0
200500063801,3.0,8.0,0.0,,2,2,17.0,300.0,0,1,3,0,60,2,0,1,0
200500010339,4.0,0.0,0.0,,2,2,,,0,1,1,0,0,1,0,1,0
200500028327,4.0,0.0,0.0,,3,2,,,0,1,1,15,85,1,0,1,0
200500052615,4.0,,0.0,,2,2,1009.0,0.0,0,1,1,0,60,1,0,1,0
200500015207,4.0,0.0,0.0,,2,2,,,0,1,1,0,0,1,0,1,99
200500000380,4.0,202.0,0.0,,2,2,0.0,0.0,0,1,2,0,56,1,0,3,0
200500007410,4.0,0.0,0.0,,3,3,,,0,3,1,0,94,1,5,1,99
200500061284,2.0,0.0,0.0,,3,2,,,0,1,0,0,0,1,0,1,0
200500031548,2.0,0.0,0.0,,2,4,,,0,1,1,0,152,1,0,1,0
200500059829,4.0,,0.0,,3,3,5004.0,0.0,0,1,1,15,90,1,0,1,0
200500086817,4.0,0.0,0.0,,2,1,,,0,1,1,0,70,1,0,1,3
200500069922,2.0,12.0,0.0,,1,3,5.0,750.0,0,1,1,15,25,1,0,1,99
200500053896,1.0,0.0,0.0,,3,6,43.0,500.0,0,1,1,10,210,1,0,1,0
200500067919,4.0,,0.0,,2,2,1009.0,0.0,0,1,1,0,60,1,0,1,0
200500086962,4.0,0.0,0.0,,2,2,0.0,0.0,0,1,1,0,50,1,0,1,0
200500064301,2.0,19.0,0.0,,0,0,0.0,0.0,0,0,1,0,0,0,0,0,0
200500035174,4.0,,0.0,,2,2,1803.0,0.0,0,1,1,0,60,2,0,1,0
200500069300,4.0,0.0,0.0,,2,2,1.0,0.0,0,1,3,0,60,1,0,1,99
