,lum,agg,int,col,moment,senc,catv,occutc,obs,obsm,manv,annee,nb_veh,choc_avant,choc_arriere,choc_lateral,choc_multiple,grav_order,secu,pieton,Conducteur,Autre,Arrière,Avant,pres_Homme,pres_Femme,age_grp_Enfant,age_grp_Adulte,age_grp_Jeune,age_grp_Senior,trajet_grp_Autre,trajet_grp_Inconnu,trajet_grp_Loisirs,trajet_grp_Professionnel,trajet_grp_Travail,catr,circ,nbv,prof,lartpc,larrout,infra,situ,mois,jour,jour_semaine,is_we,atm_enc,surf_enc
866022,1,1,1,3.0,3,1.0,7.0,0.0,4.0,2.0,12.0,2017,2.0,1.0,0.0,1.0,0.0,2,1,0,2,0,0,0,1,1,0,1,1,0,0,0,2,0,0,1.0,3.0,4.0,1.0,20.0,140.0,0.0,1.0,7,11,1,0,2,2
96893,1,1,1,3.0,2,0.0,15.0,0.0,0.0,2.0,12.0,2006,2.0,1.0,0.0,1.0,0.0,1,-1,0,2,0,0,0,1,1,0,2,0,0,0,0,0,1,1,2.0,3.0,4.0,1.0,0.0,120.0,0.0,1.0,3,21,1,0,2,2
160085,5,2,3,3.0,4,0.0,7.0,0.0,0.0,2.0,1.0,2006,2.0,1.0,0.0,0.0,0.0,1,1,0,2,0,0,1,1,2,1,2,0,0,0,3,0,0,0,4.0,2.0,2.0,1.0,0.0,61.0,0.0,1.0,12,13,2,0,2,2
280162,1,2,1,6.0,2,0.0,7.0,0.0,0.0,1.0,1.0,2008,1.0,1.0,0.0,0.0,0.0,2,-1,1,1,1,0,0,2,0,1,0,0,1,0,1,1,0,0,4.0,1.0,1.0,1.0,0.0,34.0,0.0,1.0,6,10,1,0,2,2
165080,3,1,1,6.0,3,0.0,7.0,0.0,8.0,0.0,0.0,2007,1.0,1.0,0.0,0.0,0.0,2,-1,0,1,0,0,1,2,0,0,1,1,0,0,1,1,0,0,3.0,2.0,2.0,1.0,0.0,62.0,0.0,3.0,1,4,3,0,2,2
197007,1,1,1,4.0,1,0.0,7.0,0.0,0.0,0.0,1.0,2007,6.0,1.0,1.0,0.0,0.0,2,0,0,6,0,0,0,2,2,0,4,1,1,2,0,2,0,2,3.0,3.0,4.0,3.0,0.0,73.0,0.0,1.0,6,9,5,1,1,2
194367,1,2,1,4.0,2,0.0,7.0,0.0,0.0,2.0,1.0,2007,4.0,1.0,1.0,0.0,0.0,1,0,0,4,0,0,0,2,2,0,2,0,2,0,0,2,2,0,4.0,2.0,4.0,1.0,0.0,120.0,0.0,1.0,5,2,2,0,2,2
839570,1,2,1,3.0,2,0.0,2.0,0.0,0.0,2.0,17.0,2017,2.0,1.0,0.0,1.0,0.0,1,1,0,2,0,0,0,2,0,0,2,0,0,0,2,0,0,0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,9,20,2,0,2,2
231376,1,1,1,2.0,2,0.0,13.0,0.0,0.0,2.0,2.0,2007,2.0,1.0,1.0,0.0,0.0,2,1,0,2,0,0,0,2,0,0,2,0,0,0,0,0,2,0,1.0,1.0,2.0,1.0,20.0,90.0,0.0,1.0,10,4,3,0,2,2
475819,5,2,1,4.0,3,0.0,7.0,0.0,0.0,2.0,1.0,2011,3.0,1.0,1.0,0.0,0.0,1,1,0,3,0,0,1,2,1,0,0,2,2,0,2,1,1,0,4.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,3,3,3,0,2,2
