,grav,secu,pieton,Arrière,Autre,Avant,Conducteur,pres_Homme,pres_Femme,age_grp_Adulte,age_grp_Enfant,age_grp_Jeune,age_grp_Senior,trajet_grp_Autre,trajet_grp_Inconnu,trajet_grp_Loisirs,trajet_grp_Professionnel,trajet_grp_Travail,grav_order,lum,agg,int,col,moment,senc,catv,occutc,obs,obsm,manv,annee,nb_veh,choc_avant,choc_arriere,choc_lateral,choc_multiple,catr,circ,nbv,prof,lartpc,larrout,infra,situ,mois,jour,jour_semaine,is_we,atm_enc,surf_enc
1511601,4,0,0,1,0,0,0,2,2,False,False,True,False,False,False,True,False,False,1,5.0,2.0,1.0,6.0,4,2.0,7.0,0.0,2.0,0.0,1.0,2014,1.0,0.0,1.0,0.0,0.0,4.0,2.0,2.0,2.0,0.0,92.0,0.0,3.0,1,1,2,0,2,2
578148,3,-1,1,0,1,0,0,1,1,False,True,False,False,False,True,False,False,False,2,1.0,2.0,1.0,6.0,2,0.0,13.0,0.0,0.0,1.0,1.0,2008,1.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2,18,0,0,2,2
2020245,4,1,0,0,0,0,1,0,1,False,False,True,False,False,False,False,False,True,1,1.0,1.0,1.0,6.0,2,1.0,7.0,0.0,13.0,0.0,14.0,2018,1.0,1.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,-1.0,-1.0,0.0,3.0,8,29,2,0,2,2
1089583,1,1,0,0,0,0,1,2,1,False,False,True,False,False,True,False,False,False,0,2.0,2.0,3.0,6.0,3,0.0,7.0,0.0,0.0,1.0,1.0,2011,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,28.0,0.0,0.0,8,11,3,0,2,2
391944,4,2,0,0,0,0,1,1,0,True,False,False,False,False,True,False,False,False,1,1.0,2.0,3.0,3.0,2,0.0,30.0,0.0,0.0,2.0,1.0,2007,2.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,40.0,0.0,0.0,2,21,2,0,2,2
1401731,4,2,0,0,0,0,1,1,0,True,False,False,False,False,True,False,False,False,1,5.0,2.0,3.0,3.0,1,0.0,33.0,0.0,0.0,2.0,17.0,2013,2.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,11,28,3,0,2,2
954323,1,1,0,0,0,0,1,2,1,False,False,True,False,False,False,True,False,False,0,3.0,2.0,1.0,3.0,4,0.0,7.0,0.0,0.0,2.0,9.0,2010,2.0,1.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,6,26,5,1,2,2
1190999,1,1,0,0,0,0,1,1,1,True,False,False,False,False,False,True,False,False,0,3.0,1.0,1.0,1.0,3,0.0,7.0,0.0,0.0,2.0,15.0,2012,2.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,73.0,5.0,1.0,2,10,4,0,2,2
544880,1,1,0,0,0,0,1,1,1,True,False,False,False,True,False,False,False,False,0,5.0,2.0,1.0,6.0,3,0.0,7.0,0.0,0.0,1.0,1.0,2007,1.0,1.0,0.0,0.0,0.0,4.0,3.0,2.0,2.0,15.0,66.0,6.0,1.0,12,12,2,0,2,2
576583,3,-1,0,0,1,0,0,1,1,False,False,False,True,False,False,True,False,False,2,1.0,2.0,1.0,6.0,1,0.0,7.0,0.0,0.0,0.0,4.0,2008,1.0,0.0,1.0,0.0,0.0,4.0,2.0,2.0,1.0,0.0,80.0,0.0,1.0,2,14,3,0,2,2
