Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep
200600056735,6,9,19,800,1,2,3,1,3,137,HERRIOT (AVE EDOUARD),,,,830
200600028772,6,5,13,315,5,2,1,1,6,194,JOHN KENNEDY (AVENUE),,,,860
200600029522,6,5,5,1910,2,1,1,1,6,280,CASANOVA DANIELLE (PLACE,,,,950
200600004493,6,1,6,1730,5,2,1,2,3,220,Les landrons,M,4944400.0,186800.0,600
200600005327,6,1,3,1700,1,1,1,1,1,305,,M,4755300.0,717800.0,680
200600006017,6,1,9,2345,5,2,3,1,1,55,"177, SAINT ANTOINE (CHEM",,,,130
200600062377,6,10,9,1345,1,2,1,1,6,350,"00, SCHUMAN ROBERT BOULE",,,,590
200600033736,6,6,23,1210,1,2,2,1,3,238,"00, BUISSON (FERDINAND)",,,,350
200600011421,6,3,12,440,5,2,1,6,6,1,"25, FOUR D'EYGLUN (AV DU",,,,130
200600035704,6,6,28,1250,1,2,1,1,6,18,12 AV DE CLICHY,,,,750
200600026722,6,5,16,1225,1,2,2,1,2,563,"00000, MARTEAUX (RUE DES",,,,380
200600020267,6,4,13,1050,1,2,1,1,6,18,DUGAY-TROUIN (RUE)  N° I,,,,410
200600066385,6,11,13,1020,1,1,1,1,3,117,"11/13, COPENHAGUE (RUE D",,,,130
200600062064,6,10,20,1503,1,2,1,1,6,7,"16, PICASSO",,,,490
200600030752,6,6,21,1555,1,2,1,1,3,202,rue Beethoven,M,0.0,0.0,790
200600057491,6,9,8,805,1,1,1,1,3,58,GENERAL DE GAULLE (AV DU,,,,940
200600003260,6,1,3,1200,1,2,7,1,6,97,CINEMA BUXY,,,,910
200600067856,6,11,8,2015,5,2,1,2,3,359,"138, POMPIDOU (RUE GEORG",,,,590
200600014011,6,3,3,1310,1,2,1,4,6,330,GALLIENI (RUE),,,,770
200600016659,6,3,9,1030,1,1,9,1,7,211,,M,0.0,0.0,201
200600077862,6,12,14,805,1,2,2,1,7,15,QU ANDRE CITROEN AV EMIL,,,,750
200600044887,6,8,20,1930,1,1,1,1,6,543,,M,0.0,0.0,800
200600026676,6,5,28,305,5,2,1,1,6,261,PONT CHER (AVENUE DE),,,,370
200600018621,6,4,22,1615,1,1,1,1,3,58,,M,0.0,0.0,280
200600051473,6,9,2,1945,1,1,1,1,7,94,,M,4378400.0,-5500.0,320
